variance,mean,max,total,spread,jain,gini,ede,maxmin,feasible,objective,method,runtime_s,routing_calls,evaluated,opt_gap,ede_gap,kind,seed
77.04,23.4,39.0,117.0,24.0,0.8766570605187319,0.19487179487179485,24.154343158535955,2.6,True,77.04,ours,0.2697384999996757,485,109.0,0.0,0.2531641762395343,river,0
199.43999999999997,17.4,44.0,87.0,41.0,0.6028673835125448,0.4137931034482758,19.27468372980286,14.666666666666666,True,199.43999999999997,ours_ede,0.014996699999755947,485,109.0,1.5887850467289713,0.0,river,0
228.95999999999998,20.2,49.0,101.0,39.0,0.6405651491365777,0.35643564356435653,22.183336014640357,4.9,True,228.95999999999998,centroid,1.0600000223348616e-05,5,,1.9719626168224291,0.15090531837573487,river,0
231.76,21.2,49.0,106.0,41.0,0.659776864357017,0.36603773584905674,23.13657889737312,6.125,True,231.76,weighted_centroid,2.6499999876250513e-05,5,,2.0083073727933534,0.20036101352983185,river,0
294.4,21.0,55.0,105.0,45.0,0.5996736469948327,0.36571428571428566,23.34444209285761,5.5,True,294.4,geometric_median,7.940000023154425e-05,5,,2.821391484942886,0.21114527325613214,river,0
199.43999999999997,17.4,44.0,87.0,41.0,0.6028673835125448,0.4137931034482758,19.27468372980286,14.666666666666666,True,199.43999999999997,min_sum,0.006936400000085996,490,,1.5887850467289713,0.0,river,0
109.35999999999999,19.8,38.0,99.0,27.0,0.7818907060231353,0.27474747474747474,20.935183676767497,3.4545454545454546,True,109.35999999999999,min_max,0.0068111999999018735,490,,0.41952232606438183,0.08614927073470696,river,0
77.04,23.4,39.0,117.0,24.0,0.8766570605187319,0.19487179487179485,24.154343158535955,2.6,True,77.04,min_range,0.0068215999999665655,490,,0.0,0.2531641762395343,river,0
77.04,23.4,39.0,117.0,24.0,0.8766570605187319,0.19487179487179485,24.154343158535955,2.6,True,77.04,random,0.00721239999984391,490,,0.0,0.2531641762395343,river,0
77.04,23.4,39.0,117.0,24.0,0.8766570605187319,0.19487179487179485,24.154343158535955,2.6,True,77.04,exhaustive,0.008729700000003504,490,,0.0,0.2531641762395343,river,0
199.43999999999997,17.4,44.0,87.0,41.0,0.6028673835125448,0.4137931034482758,19.27468372980286,14.666666666666666,True,199.43999999999997,exhaustive_ede,0.00745020000022123,490,,1.5887850467289713,0.0,river,0
121.04,27.4,47.0,137.0,32.0,0.8611608167010782,0.21605839416058403,28.39216970459205,3.1333333333333333,True,121.04,ours,0.2792482999998356,495,111.0,0.0,0.09875372192564323,river,1
143.84,24.6,46.0,123.0,35.0,0.8079572763684914,0.26016260162601634,25.840339957923213,4.181818181818182,True,143.84,ours_ede,0.017243299999790906,470,106.0,0.18836748182419033,0.0,river,1
407.76000000000005,27.8,61.0,139.0,54.0,0.6546162967982382,0.3971223021582735,30.282697696189427,8.714285714285714,True,407.76000000000005,centroid,9.59999988481286e-06,5,,2.3688037012557834,0.17191560736042444,river,1
511.2,30.0,67.0,150.0,64.0,0.6377551020408163,0.41866666666666674,32.80515248015018,22.333333333333332,True,511.2,weighted_centroid,2.2700000045006163e-05,5,,3.223397224058162,0.2695325422795531,river,1
