seed,minsum_mean,minsum_variance,gamma,op_mean,op_variance,mean_gap_pct,variance_reduction_pct
0,30.0,288.4,32,30.2,220.16000000000003,0.6666666666666643,23.66158113730928
1,22.8,206.16000000000003,64,22.8,206.16000000000003,0.0,0.0
2,25.6,101.84,32,25.8,90.16000000000001,0.7812499999999972,11.468970934799678
3,22.6,271.84000000000003,0,24.2,22.16,7.079646017699105,91.8481459682166
4,40.8,261.76,0,42.8,165.35999999999999,4.901960784313726,36.82762836185819
5,46.8,1335.3600000000001,16,47.6,709.4399999999999,1.7094017094017186,46.8727534148095
6,25.8,163.35999999999999,32,25.8,163.35999999999999,0.0,0.0
7,22.8,38.959999999999994,0,22.8,38.959999999999994,0.0,0.0
