seed,minsum_mean,minsum_variance,gamma,op_mean,op_variance,mean_gap_pct,variance_reduction_pct
0,34.0,1102.8,32,39.4,588.24,15.882352941176467,46.65941240478781
1,13.6,53.839999999999996,16,14.0,45.2,2.941176470588238,16.047548291233273
2,7.2,11.360000000000001,8,7.2,11.360000000000001,0.0,0.0
3,13.8,72.96000000000001,16,13.8,72.96000000000001,0.0,0.0
4,30.2,503.75999999999993,0,31.6,352.64,4.635761589403981,29.99841194219469
5,37.4,311.04,64,37.4,311.04,0.0,0.0
6,30.4,536.64,64,30.4,536.64,0.0,0.0
7,13.0,71.2,8,13.4,44.239999999999995,3.0769230769230798,37.86516853932586
