fine_res,our_variance,exhaustive_variance,opt_gap,runtime_s,routing_calls
8,86.38025591041945,86.38025591042633,-7.962529874060689e-14,0.01066529999661725,504
9,83.73916054701304,83.73916054701304,0.0,0.038212999992538244,2814
10,82.84498474996006,82.84498474996006,0.0,0.12132370000472292,18018
11,82.84498474996013,82.84498474996013,0.0,0.9875560000073165,121740
