variance,mean,max,total,spread,jain,gini,maxmin,feasible,objective,method,runtime_s,routing_calls,evaluated,opt_gap,city,n,mix,seed
1.401340084162814,22.53362326091283,23.49965267827298,67.60086978273849,2.633147373160309,0.9972477710363039,0.025967588697432653,1.1261901470638278,True,1.401340084162814,ours,0.011444300005678087,225,184.0,0.0,london,3,mixed,0
53.20055743561338,19.16459747543161,29.170748820868155,57.49379242629483,17.179143512535163,0.8734773125413864,0.19919998070004108,2.4325974772199466,True,53.20055743561338,centroid,1.0700023267418146e-05,3,,36.96405885827234,london,3,mixed,0
43.71223854822219,19.363129893243904,28.374271875170972,58.08938967973171,15.677233270989397,0.8955858939472646,0.17992078940662304,2.234715728581493,True,43.71223854822219,weighted_centroid,2.180004958063364e-05,3,,30.193169340001198,london,3,mixed,0
252.07666574649883,17.153678529733693,39.578382219999106,51.461035589201074,34.61914357757951,0.5385960683822459,0.4484835718417375,7.980737583680576,True,252.07666574649883,geometric_median,0.00011309998808428645,3,,178.88257710981983,london,3,mixed,0
249.6533985653016,17.15905292977009,39.468555125002105,51.47715878931027,34.5572682509597,0.5411512684192461,0.4475417714537355,8.036296013088755,True,249.6533985653016,min_sum,0.012987199996132404,231,,177.15332722352622,london,3,mixed,0
7.7414332580776914,20.857943194515993,22.88327959225708,62.573829583547976,5.959589653409637,0.982516899965993,0.06349395258979573,1.352144814455015,True,7.7414332580776914,min_max,0.012119999970309436,231,,4.524307300966535,london,3,mixed,0
3.2496510761653234,21.76172810036934,24.249450144350803,65.28518430110802,4.214186306910868,0.9931847776855676,0.043033615789193735,1.210338448303127,True,3.2496510761653234,random,0.007052799977827817,174,,1.3189596250696873,london,3,mixed,0
1.401340084162814,22.53362326091283,23.49965267827298,67.60086978273849,2.633147373160309,0.9972477710363039,0.025967588697432653,1.1261901470638278,True,1.401340084162814,exhaustive,0.014200899982824922,231,,0.0,london,3,mixed,0
7.225814008517762,12.641272611508306,14.630965959661905,37.92381783452492,5.7898138587767765,0.9567387990953088,0.10177972910568234,1.654870970741147,True,7.225814008517762,ours,0.006945599976461381,105,135.0,-0.020042707468504076,london,3,mixed,1
96.22591086096219,14.491417396143687,28.001964347922087,43.47425218843106,22.993036423749835,0.6857694361005686,0.3525924007324428,5.590410716989814,True,96.22591086096219,centroid,1.1499971151351929e-05,3,,12.05005677803612,london,3,mixed,1
