w_variance,w_mean,w_ede,p90,p95,pct_within_sla,courier_gini,max,method,routing_calls,seed
16.591193195001456,11.848549031569455,12.154390930527043,17.0,17.099999999999994,39.282583864752326,0.22752192982456143,19.0,ours,5720,0
18.505271330890615,10.864174059937291,11.22028904754539,15.0,17.049999999999997,36.916456412589554,0.2578978622327792,20.0,ours_ede,5840,0
29.554824069873327,12.243230569544357,12.757308138796763,21.1,22.099999999999994,46.14691500756075,0.2539264413518887,25.0,coverage_max,13080,0
23.444585364705265,10.403731434020834,10.86405350340705,17.0,18.19999999999999,46.94140575451248,0.26744851258581237,25.0,weighted_centroid,40,0
18.505271330890615,10.864174059937291,11.22028904754539,15.0,17.049999999999997,36.916456412589554,0.2578978622327792,20.0,min_sum,13080,0
38.04753651866794,15.036584161073746,15.588355242002823,23.0,24.14999999999999,28.340281950647544,0.2256557377049182,29.0,ours,5960,1
56.3483553540553,11.409199114561522,12.319813038177545,26.1,27.099999999999994,51.460349044392984,0.3590206185567011,29.0,ours_ede,6120,1
48.146020422255404,11.814025355851754,12.617571149842487,25.1,27.0,53.55513926474262,0.3258130081300814,28.0,coverage_max,15040,1
50.546252134325314,11.407062771485137,12.260566195806316,25.1,28.0,54.89629322183119,0.3397916666666667,28.0,weighted_centroid,40,1
50.350801625356624,11.508760824642232,12.34926386990785,25.1,27.049999999999997,52.15260165111943,0.3392857142857144,28.0,min_sum,15040,1
25.330565230442794,30.865782314608193,31.063852317019098,37.0,37.05,0.0,0.09817880794702005,42.0,ours,6560,2
115.42455099395367,18.054334005511166,19.295832215321024,38.0,38.14999999999999,28.251585220527776,0.313142523364486,45.0,ours_ede,6560,2
232.482609719457,20.40527288431055,22.332283910461395,48.0,49.099999999999994,40.7145831345496,0.37288385826771653,55.0,coverage_max,18240,2
59.55221073051693,19.656054101995128,20.32728837098273,32.0,33.099999999999994,13.380479826529024,0.21412790697674433,39.0,weighted_centroid,40,2
58.083484432782726,18.72321446001729,19.41339989414499,31.0,34.0,11.98106820251507,0.22524479804161568,40.0,min_sum,18240,2
25.677023563380573,18.583386258993773,18.89796966107476,25.1,27.0,6.960337334212144,0.15427807486631018,30.0,ours,6400,3
27.633668198858594,17.253253048375225,17.61238060919839,25.1,26.049999999999997,6.960337334212144,0.17492857142857154,28.0,ours_ede,7000,3
106.74193390309279,17.12289859108241,18.27872056811473,30.0,34.14999999999999,45.1524475020167,0.3186827956989249,38.0,coverage_max,18000,3
35.66349874691446,17.325683622310308,17.809711293134093,23.1,26.14999999999999,7.419834171977997,0.19430473372781076,37.0,weighted_centroid,40,3
45.08955567694747,15.841123566418112,16.479895746559144,23.200000000000003,25.14999999999999,24.186673103795084,0.2235959438377535,39.0,min_sum,18000,3
29.621150447302778,20.943702945990232,21.27034547701718,27.200000000000003,29.049999999999997,4.308751401129228,0.17053679131483723,40.0,ours,5920,4
51.765320631111464,14.853416199556994,15.576009264541291,26.200000000000003,28.049999999999997,33.897182281105515,0.23740822320117494,30.0,ours_ede,6280,4
128.83618740606715,16.246251940184777,17.60801843963251,33.2,35.14999999999999,50.44012290352381,0.31614457831325304,38.0,coverage_max,15600,4
71.94024080862926,15.828772040297418,16.72825096485542,29.0,31.0,35.20163831313966,0.26382275132275135,35.0,weighted_centroid,40,4
33.01222891132524,15.311594551041093,15.805143885476273,24.1,25.049999999999997,22.5165383947246,0.18780864197530867,30.0,min_sum,15600,4
25.690197799230017,17.139301470014082,17.4858423271985,23.1,24.049999999999997,7.981440982159679,0.16028985507246385,27.0,ours,6360,5
37.14829403217211,13.402694937620842,13.972347240168515,21.200000000000003,23.0,33.35541066082065,0.24664579606440085,26.0,ours_ede,6120,5
68.87075559146545,14.385994612207773,15.28078726125789,26.1,27.049999999999997,39.3541965061126,0.3064606741573035,31.0,coverage_max,15760,5
26.507296209740023,13.370013064838144,13.799220432107722,20.1,21.0,39.38725582577636,0.20963636363636362,24.0,weighted_centroid,40,5
37.14829403217211,13.402694937620842,13.972347240168515,21.200000000000003,23.0,33.35541066082065,0.24664579606440085,26.0,min_sum,15760,5
17.777398440424133,13.152153253058435,13.469957420541302,18.200000000000003,22.099999999999994,25.584665869128564,0.20543893129771007,30.0,ours,5360,6
24.92070006405458,8.615055634670782,9.181228867056257,17.0,17.049999999999997,69.47230683981093,0.3438034188034189,25.0,ours_ede,5360,6
24.92070006405458,8.615055634670782,9.181228867056257,17.0,17.049999999999997,69.47230683981093,0.3438034188034189,25.0,coverage_max,10440,6
24.682830291819645,9.053379121302758,9.601988599466091,18.0,18.0,67.30796513544236,0.32834224598930484,26.0,weighted_centroid,40,6
24.92070006405458,8.615055634670782,9.181228867056257,17.0,17.049999999999997,69.47230683981093,0.3438034188034189,25.0,min_sum,10440,6
40.656078327646334,11.965989754994288,12.667994221525245,22.200000000000003,24.0,51.72462349574669,0.2859878710501118,30.0,coverage_max,12760,7
