w_variance,w_mean,w_ede,p90,p95,pct_within_sla,courier_gini,max,method,routing_calls,scenario,seed
7.6910201440495385,6.679352926690593,6.921231577013156,10.654429543877498,11.631709956954845,88.77949895183664,0.2524548558231565,12.279607777402907,ours,5840,darkstore_london,0
10.019798246479157,6.264408176420443,6.590040691361618,10.430302854960347,12.639963410823189,90.71515729491709,0.2814418242063377,14.58332024767136,ours_ede,5600,darkstore_london,0
8.768693090483042,6.316049954519378,6.600634328545839,9.913627581259147,12.605607794654047,93.13051911441475,0.26463985592574235,13.379581517229482,coverage_max,13080,darkstore_london,0
9.086503612383972,6.246177028850643,6.542731621505663,10.322634950736052,12.547417146670249,91.87929283895463,0.2715236522005855,13.743226836743313,weighted_centroid,40,darkstore_london,0
8.768693090483042,6.316049954519378,6.600634328545839,9.913627581259147,12.605607794654047,93.13051911441475,0.26463985592574235,13.379581517229482,min_sum,13080,darkstore_london,0
8.309584117624595,13.50196487173068,13.652045853649206,17.078969006462668,19.53051728292702,6.219661385691103,0.12404587257971644,20.878629296903263,ours,6240,darkstore_london,1
13.110985136432818,6.839705247118642,7.2291072272433246,11.425208365956482,12.141037984070154,78.52275389575871,0.28437997017610983,16.702270147307754,ours_ede,6120,darkstore_london,1
13.892418712473884,7.254052875052877,7.642010510204244,13.485144024078492,14.254058898890223,82.14075025371483,0.28429098388859875,15.612184033787718,coverage_max,15040,darkstore_london,1
13.035890875668697,6.8187618397578476,7.2049319992651615,11.505256107586598,12.717757008091738,76.2895654233368,0.28602220258525857,16.10813662379796,weighted_centroid,40,darkstore_london,1
16.055601762314254,7.013201541305191,7.466417190988165,11.606880684610823,13.06324097221834,79.47433861172144,0.3043572917765096,18.496632502544077,min_sum,15040,darkstore_london,1
11.457435230090443,11.511818290315098,11.749572304339454,16.558715520989836,17.875939281846435,36.33751662494041,0.16167428368839243,20.263445481536134,ours,6480,darkstore_london,2
46.985326291037914,9.053292750623553,9.935573684714637,21.207230394300808,23.90893643727761,65.3517194978911,0.3784113292324671,27.012814205546178,ours_ede,6440,darkstore_london,2
80.23053871171953,10.32472871236838,11.518515420521018,26.25398701529194,28.677589332994852,71.43113666669777,0.40452896938970695,31.812034688961177,coverage_max,18240,darkstore_london,2
26.75897533918538,9.67176785301124,10.236888092898393,18.304981471437923,20.97419872017998,61.81769969623638,0.28368138625166717,24.07907934591433,weighted_centroid,40,darkstore_london,2
34.42336589960578,9.354829609543765,10.054860735294254,19.52510805912929,22.229309682697426,65.3517194978911,0.32568726453907537,25.33053504173758,min_sum,18240,darkstore_london,2
10.109176797992552,9.908290575698516,10.14409520045474,14.742446999353692,15.251658284456393,61.147229878377374,0.1888569028569309,18.350354606579145,ours,6480,darkstore_london,3
13.444099472587254,9.060071193569522,9.390552676896924,13.505114132446943,16.0201808668503,67.17158679570196,0.22625751390649862,19.734045434803328,ours_ede,6520,darkstore_london,3
13.444099472587254,9.060071193569522,9.390552676896924,13.505114132446943,16.0201808668503,67.17158679570196,0.22625751390649862,19.734045434803328,coverage_max,18000,darkstore_london,3
11.832725021307986,9.088227893163229,9.385053685436914,13.698442298425546,15.413419004932218,67.96810672786384,0.21478215238571519,19.662159213471696,weighted_centroid,40,darkstore_london,3
12.721764026702468,9.348444619040214,9.665917168369603,13.205541446676671,14.711883444257507,66.95218981407865,0.2154602978700053,21.961311539483088,min_sum,18000,darkstore_london,3
6.129339692570405,9.113135237416838,9.269241068681314,12.209367402576293,13.177589775395381,62.502677673262895,0.16662898893666434,14.532608686544794,ours,6160,darkstore_london,4
13.411946998584673,7.7555172269215005,8.11434933473198,13.485389027267146,14.664364534640404,68.18794459003873,0.24088392600426434,15.769973736083108,ours_ede,6280,darkstore_london,4
8.598349896542317,8.602772741212746,8.831778933439756,11.644556751256907,11.910121854310331,79.69089145059925,0.18256428724072782,16.372576781849087,coverage_max,15600,darkstore_london,4
9.752404738373171,7.90725763265379,8.17813927135038,13.075544985981914,13.903747461146601,75.96315039557975,0.20631690957660154,14.673552297378825,weighted_centroid,40,darkstore_london,4
14.823088297871815,9.404073028635736,9.737620382345762,12.623388559768516,13.504871274643074,48.410096851123356,0.2656872691815195,17.49603224662022,min_sum,15600,darkstore_london,4
6.292906074006133,8.664292471997666,8.83197551652046,11.51362025000837,13.022363945103983,76.76162611162414,0.15510880235750135,14.365615042666661,ours,6240,darkstore_london,5
10.588033249237512,8.145211449038102,8.431109137693952,12.14774265346448,14.250766723769827,72.00762480299376,0.21888394565989278,16.453818665399574,ours_ede,6000,darkstore_london,5
6.292906074006133,8.664292471997666,8.83197551652046,11.51362025000837,13.022363945103983,76.76162611162414,0.15510880235750135,14.365615042666661,coverage_max,15760,darkstore_london,5
7.953336848318263,8.22001388004762,8.439094390311745,11.24687606695881,13.073242391965877,70.56247476901143,0.1880722418341534,15.652166929403515,weighted_centroid,40,darkstore_london,5
7.126722220648531,8.293255029680301,8.489562142204747,11.634974957702136,12.481826400876084,70.50648559325256,0.17648259612181905,15.339709575805966,min_sum,15760,darkstore_london,5
5.59724723388219,5.447078372087182,5.67542300287595,9.908779894233893,11.141102910172739,96.95669866583766,0.28600479886866625,15.090632801018542,ours,5200,darkstore_london,6
8.475333804424249,4.6799435849729125,5.021026224129094,9.620697396859873,10.506007472509342,95.20242263215256,0.36390223494744856,12.411880459621031,ours_ede,5360,darkstore_london,6
6.476870570486428,5.031730994083539,5.295972780569768,9.096324522952619,9.653459215817428,98.80211347076599,0.3210454065001196,13.409902128028051,coverage_max,10440,darkstore_london,6
7.254502811896347,4.741844543757427,5.043095273853792,9.160860466699429,9.820800150007775,98.80211347076599,0.34351586657467625,13.2008035621915,weighted_centroid,40,darkstore_london,6
8.475333804424249,4.6799435849729125,5.021026224129094,9.620697396859873,10.506007472509342,95.20242263215256,0.36390223494744856,12.411880459621031,min_sum,10440,darkstore_london,6
7.171639437417562,13.586075944503024,13.71121126547648,16.70541719312507,17.120840796453976,14.568571790951996,0.11312716346272511,18.891055124524698,ours,5520,darkstore_london,7
14.235632437103304,6.940744861086837,7.350210006217624,13.842275607041845,14.304879474439934,82.72311104229601,0.2999955386468127,15.206038091109978,ours_ede,5760,darkstore_london,7
14.235632437103304,6.940744861086837,7.350210006217624,13.842275607041845,14.304879474439934,82.72311104229601,0.2999955386468127,15.206038091109978,coverage_max,12760,darkstore_london,7
13.321305761729652,6.96656162952613,7.351173652848173,13.123524435772186,14.109969506936688,80.63470727454897,0.2907310045081448,14.770365443378731,weighted_centroid,40,darkstore_london,7
14.235632437103304,6.940744861086837,7.350210006217624,13.842275607041845,14.304879474439934,82.72311104229601,0.2999955386468127,15.206038091109978,min_sum,12760,darkstore_london,7
6.048923491333227,6.716589122648398,6.921342771185984,9.458106214049629,9.87140191313166,88.82943964046734,0.20236637162082816,12.249843219000425,ours,5160,darkstore_london,8
7.335204764822053,6.374162075596262,6.629455236179647,8.670736778898405,9.343751374379755,90.02776129490829,0.23099129379086447,13.636996156774387,ours_ede,5560,darkstore_london,8
9.03260151849973,6.413302958813489,6.706416946837479,8.17716746234292,10.00442169201957,90.12969843686028,0.288393951175153,13.5879533087491,coverage_max,11120,darkstore_london,8
7.2978789784198455,6.373616926508913,6.626561869938345,8.710295105736488,9.133581670702034,94.84388095861641,0.2343144309740528,13.500580021093857,weighted_centroid,40,darkstore_london,8
9.03260151849973,6.413302958813489,6.706416946837479,8.17716746234292,10.00442169201957,90.12969843686028,0.288393951175153,13.5879533087491,min_sum,11120,darkstore_london,8
7.954917333848747,10.944178106652839,11.118321231834733,13.241849334893079,13.422772743086904,41.54888524828032,0.13010600512284465,18.488695139742678,ours,4960,darkstore_london,9
8.92374933617365,5.89358369877802,6.210575552552882,9.69141698572484,9.951544907527634,93.50241942305495,0.2797608304949961,13.501102149672045,ours_ede,5400,darkstore_london,9
8.92374933617365,5.89358369877802,6.210575552552882,9.69141698572484,9.951544907527634,93.50241942305495,0.2797608304949961,13.501102149672045,coverage_max,10680,darkstore_london,9
8.160044290273872,5.878536982091092,6.169901212261022,9.704457787417095,10.709290939437071,88.38011500002804,0.2772210633977925,12.541887025973407,weighted_centroid,40,darkstore_london,9
8.349082916535727,5.954692270636445,6.244266850079341,9.960768708606048,11.00926316860688,88.38011500002804,0.2784062314330009,12.014101968144077,min_sum,10680,darkstore_london,9
6.976091636589801,6.287111542064985,6.524930802371714,9.861981366148065,10.39662875127041,93.28155077083082,0.22819660763778482,13.272330626920816,ours,5280,darkstore_london,10
6.976091636589801,6.287111542064985,6.524930802371714,9.861981366148065,10.39662875127041,93.28155077083082,0.22819660763778482,13.272330626920816,ours_ede,5560,darkstore_london,10
7.227290657316124,6.413264740442324,6.653732653102113,9.773562087656863,10.42500458025958,96.35059674550654,0.22847657647346287,13.172186513647814,coverage_max,10600,darkstore_london,10
7.022027025880528,6.265283146207417,6.506292917265463,9.861868518299994,10.404670565503958,96.08023129320273,0.22986318290929098,13.509439027388296,weighted_centroid,40,darkstore_london,10
9.92230113350786,6.7915343034952285,7.089936521132048,10.490637010009273,11.337871692172332,80.7513085743303,0.265283251730285,11.865439730075664,min_sum,10600,darkstore_london,10
