variance,mean,max,total,spread,jain,gini,theil,ede,maxmin,feasible,objective,method,runtime_s,routing_calls,evaluated,opt_gap,ede_gap,seed
362.23999999999995,48.4,77.0,242.0,60.0,0.8660751257024549,0.20330578512396702,0.08611008186265953,49.99856230472666,4.529411764705882,True,362.23999999999995,ours,0.0702473999990616,755,161.0,0.0,0.3036381358964391,0
1102.8,34.0,89.0,170.0,85.0,0.5117761643350451,0.5082352941176471,0.4727936398693144,38.35309886078581,22.25,True,1102.8,ours_ede,0.03621840001142118,900,190.0,2.044390459363958,0.0,0
1482.4,59.0,122.0,295.0,111.0,0.7013337631462304,0.360677966101695,0.22609453638274415,63.51607449525677,11.090909090909092,False,1482.4,centroid,1.750000228639692e-05,5,,3.0923144876325095,0.6560871580627056,0
468.8,50.0,79.0,250.0,62.0,0.8420910805712746,0.24320000000000008,0.10302485623457427,51.948722143744085,4.647058823529412,True,468.8,weighted_centroid,3.3800009987317026e-05,5,,0.2941696113074207,0.3544856527058662,0
841.0399999999997,40.6,76.0,203.0,67.0,0.6621515224552101,0.3783251231527094,0.2646925265476067,44.08190538277318,8.444444444444445,True,841.0399999999997,geometric_median,0.00017970000044442713,5,,1.321775618374558,0.1493701080786667,0
1102.8,34.0,89.0,170.0,85.0,0.5117761643350451,0.5082352941176471,0.4727936398693144,38.35309886078581,22.25,True,1102.8,min_sum,0.021994899987475947,1855,,2.044390459363958,0.0,0
459.35999999999996,49.2,65.0,246.0,56.0,0.8405,0.21463414634146338,0.12698243420465968,51.02712011412489,7.222222222222222,True,459.35999999999996,min_max,0.014385500006028451,1855,,0.2681095406360425,0.3304562507280905,0
422.55999999999995,51.8,66.0,259.0,54.0,0.8639448773262928,0.1884169884169884,0.1040981398227672,53.43297599654842,5.5,True,422.55999999999995,min_range,0.014443499996559694,1855,,0.16651943462897525,0.39318536399104514,0
414.64000000000004,48.4,76.0,242.0,63.0,0.8496155520092847,0.2214876033057851,0.10569280330604611,50.158983700734986,5.846153846153846,True,414.64000000000004,random,0.00498929999594111,500,,0.1446554770318024,0.30782088515982,0
362.23999999999995,48.4,77.0,242.0,60.0,0.8660751257024549,0.20330578512396702,0.08611008186265953,49.99856230472666,4.529411764705882,True,362.23999999999995,exhaustive,0.01645989999815356,1855,,0.0,0.3036381358964391,0
1102.8,34.0,89.0,170.0,85.0,0.5117761643350451,0.5082352941176471,0.4727936398693144,38.35309886078581,22.25,True,1102.8,exhaustive_ede,0.017877499994938262,1855,,2.044390459363958,0.0,0
37.04,14.6,24.0,73.0,17.0,0.8519584332533973,0.2301369863013698,0.08657753120541256,15.150112805104671,3.4285714285714284,True,37.04,ours,0.015586000008624978,655,141.0,0.0,0.05315021878027584,1
53.839999999999996,13.6,24.0,68.0,17.0,0.7745393634840871,0.27647058823529425,0.14141107241692233,14.385519306686406,3.4285714285714284,True,53.839999999999996,ours_ede,0.024272900001960807,645,139.0,0.4535637149028077,0.0,1
174.16,23.8,39.0,119.0,30.0,0.7648393194706994,0.29915966386554627,0.16586494528107107,25.189228281937503,4.333333333333333,True,174.16,centroid,9.2999980552122e-06,5,,3.701943844492441,0.751012788966855,1
40.96,16.8,27.0,84.0,17.0,0.8732673267326733,0.20952380952380967,0.07083561979988728,17.34454601116844,2.7,True,40.96,weighted_centroid,2.130000211764127e-05,5,,0.10583153347732187,0.20569481305458845,1
47.760000000000005,20.2,28.0,101.0,17.0,0.8952172005265467,0.18613861386138608,0.062137127153402784,20.719930928922167,2.5454545454545454,True,47.760000000000005,geometric_median,8.13999940874055e-05,5,,0.28941684665226797,0.4403324959768063,1
53.839999999999996,13.6,24.0,68.0,17.0,0.7745393634840871,0.27647058823529425,0.14141107241692233,14.385519306686406,3.4285714285714284,True,53.839999999999996,min_sum,0.010776300012366846,1060,,0.4535637149028077,0.0,1
43.2,15.0,23.0,75.0,18.0,0.8389261744966443,0.2453333333333334,0.10656484873843064,15.593118451815355,4.6,True,43.2,min_max,0.008242299998528324,1060,,0.16630669546436294,0.08394546761809672,1
41.839999999999996,16.4,25.0,82.0,17.0,0.8653796653796654,0.2195121951219512,0.08192527150407912,16.947177145899207,3.125,True,41.839999999999996,min_range,0.009300200006691739,1060,,0.12958963282937358,0.17807197533857114,1
43.2,15.0,23.0,75.0,18.0,0.8389261744966443,0.2453333333333334,0.10656484873843064,15.593118451815355,4.6,True,43.2,random,0.004715700008091517,500,,0.16630669546436294,0.08394546761809672,1
37.04,14.6,24.0,73.0,17.0,0.8519584332533973,0.2301369863013698,0.08657753120541256,15.150112805104671,3.4285714285714284,True,37.04,exhaustive,0.00941479999164585,1060,,0.0,0.05315021878027584,1
53.839999999999996,13.6,24.0,68.0,17.0,0.7745393634840871,0.27647058823529425,0.14141107241692233,14.385519306686406,3.4285714285714284,True,53.839999999999996,exhaustive_ede,0.00947479999740608,1060,,0.4535637149028077,0.0,1
0.56,8.8,10.0,44.0,2.0,0.9928205128205129,0.045454545454545414,0.003588232808334174,8.815868501705474,1.25,True,0.56,ours,0.01681260000623297,690,148.0,0.0,0.1747891401379248,2
