variance,mean,max,total,spread,jain,gini,theil,ede,maxmin,feasible,objective,method,runtime_s,routing_calls,evaluated,opt_gap,ede_gap,seed
2.6399999999999997,37.4,40.0,187.0,5.0,0.998116169544741,0.02352941176470602,0.0009419154830549858,37.41763609812517,1.1428571428571428,False,2.6399999999999997,ours,0.014602091000000428,1355,283.0,0.0,0.3034714180906131,0
88.0,28.0,41.0,140.0,24.0,0.8990825688073395,0.18571428571428572,0.057342164451228105,28.706142366310036,2.411764705882353,False,88.0,ours_ede,0.014388079000013931,1375,287.0,32.333333333333336,0.0,0
76.4,29.0,39.0,145.0,20.0,0.9167211685197296,0.1627586206896552,0.04593534765670064,29.60433267917689,2.0526315789473686,False,76.4,centroid,4.979999999932261e-06,5,,27.939393939393945,0.03128913322470601,0
76.4,29.0,39.0,145.0,20.0,0.9167211685197296,0.1627586206896552,0.04593534765670064,29.60433267917689,2.0526315789473686,False,76.4,weighted_centroid,1.2342999980319291e-05,5,,27.939393939393945,0.03128913322470601,0
245.03999999999996,27.6,49.0,138.0,40.0,0.7566150178784267,0.3072463768115943,0.17785818636933462,29.261902082618935,5.444444444444445,False,245.03999999999996,geometric_median,4.7911000024214445e-05,5,,91.81818181818183,0.01936030655798414,0
241.84,27.4,49.0,137.0,40.0,0.756357042111626,0.3065693430656935,0.17729280209842888,29.054995063559733,5.444444444444445,False,241.84,min_sum,0.028811593999989782,5650,,90.60606060606062,0.012152545361132043,0
11.440000000000001,29.6,33.0,148.0,8.0,0.9871113114015322,0.05945945945945952,0.006646266493227785,29.694618893149762,1.32,False,11.440000000000001,min_max,0.02795746500001428,5650,,3.333333333333334,0.0344343212064543,0
3.04,33.6,36.0,168.0,5.0,0.9973144876325089,0.028571428571428692,0.0013487326283215515,33.62254621677627,1.1612903225806452,False,3.04,min_range,0.028332921999975724,5650,,0.15151515151515166,0.1712666156159039,0
4.560000000000001,36.2,38.0,181.0,6.0,0.996532319391635,0.026519337016574607,0.0017901146638702862,36.230961504324256,1.1875,False,4.560000000000001,random,0.005713640999999825,500,,0.727272727272728,0.2621327185656775,0
2.6399999999999997,37.4,40.0,187.0,5.0,0.998116169544741,0.02352941176470602,0.0009419154830549858,37.41763609812517,1.1428571428571428,False,2.6399999999999997,exhaustive,0.02891457699999478,5650,,0.0,0.3034714180906131,0
