n,runtime_s,routing_calls,opt_gap
3,0.015083499998581829,936.0,0.005113158405411957
5,0.016246924998995382,1911.25,0.0
10,0.027222475004236912,5312.5,0.0
20,0.05889977499828092,11295.0,0.0
50,0.12931460000254447,29887.5,0.0
