variance,mean,max,total,spread,jain,gini,theil,ede,maxmin,feasible,objective,method,runtime_s,routing_calls,evaluated,opt_gap,ede_gap,seed
65.44,41.4,50.0,207.0,23.0,0.9632235585028661,0.10434782608695659,0.020408473321204157,41.77116296663495,1.8518518518518519,True,65.44,ours,0.035838600000715815,860,182.0,0.0,0.32114516768832796,0
220.16000000000003,30.2,48.0,151.0,42.0,0.8055467231937821,0.2728476821192054,0.1466206708817996,31.617390721508663,8.0,True,220.16000000000003,ours_ede,0.028982199997699354,890,188.0,2.364303178484108,0.0,0
143.04000000000002,36.4,50.0,182.0,34.0,0.9025613079019074,0.18021978021978025,0.060441648571239535,37.258934006860294,3.125,True,143.04000000000002,centroid,1.1600001016631722e-05,5,,1.1858190709046459,0.17843165285343437,0
192.56,33.2,52.0,166.0,43.0,0.8512820512820513,0.21927710843373505,0.10440125663242279,34.39234283102337,5.777777777777778,True,192.56,weighted_centroid,5.409999721450731e-05,5,,1.9425427872860637,0.08776663874501713,0
197.6,32.0,49.0,160.0,42.0,0.8382449246889325,0.2350000000000001,0.12087491409959732,33.23349033977335,7.0,True,197.6,geometric_median,0.0001314999972237274,5,,2.019559902200489,0.05111426279605308,0
288.4,30.0,53.0,150.0,45.0,0.7573207674183776,0.31733333333333347,0.17642235320937258,31.807583613841274,6.625,True,288.4,min_sum,0.03586879999784287,2715,,3.407090464547677,0.006015451876084978,0
163.84,33.4,42.0,167.0,34.0,0.8719399718618103,0.170059880239521,0.09822239581549726,34.384432127417256,5.25,True,163.84,min_max,0.03352950000044075,2715,,1.503667481662592,0.08751643771875936,0
65.44,41.4,50.0,207.0,23.0,0.9632235585028661,0.10434782608695659,0.020408473321204157,41.77116296663495,1.8518518518518519,True,65.44,min_range,0.029893899998569395,2715,,0.0,0.32114516768832796,0
97.84,41.4,55.0,207.0,30.0,0.9459984545755602,0.12946859903381647,0.030064599453651995,41.95098843995155,2.2,True,97.84,random,0.006023699999786913,500,,0.49511002444987784,0.32683271714174544,0
65.44,41.4,50.0,207.0,23.0,0.9632235585028661,0.10434782608695659,0.020408473321204157,41.77116296663495,1.8518518518518519,True,65.44,exhaustive,0.01994650000051479,2715,,0.0,0.32114516768832796,0
220.16000000000003,30.2,48.0,151.0,42.0,0.8055467231937821,0.2728476821192054,0.1466206708817996,31.617390721508663,8.0,True,220.16000000000003,exhaustive_ede,0.0273574999991979,2715,,2.364303178484108,0.0,0
113.44000000000001,26.4,37.0,132.0,30.0,0.8600197433366239,0.21212121212121215,0.1011521858323031,27.274677340219025,5.285714285714286,True,113.44000000000001,ours,0.008589400000346359,815,173.0,0.0,0.11791027666922058,1
206.16000000000003,22.8,39.0,114.0,34.0,0.7160330578512397,0.343859649122807,0.22467097362397995,24.397912703229718,7.8,True,206.16000000000003,ours_ede,0.008005200001207413,850,180.0,0.8173483779971792,0.0,1
195.76,32.2,48.0,161.0,39.0,0.8411812429011845,0.2360248447204969,0.11189268149863274,33.42903059201181,5.333333333333333,True,195.76,centroid,6.599999323952943e-06,5,,0.7256699576868827,0.37015944759842445,1
247.04000000000002,31.6,51.0,158.0,40.0,0.801669877970456,0.27594936708860773,0.13110568616075105,33.16345250892621,4.636363636363637,True,247.04000000000002,weighted_centroid,1.179999890155159e-05,5,,1.1777150916784205,0.35927416875035134,1
173.84,30.4,47.0,152.0,39.0,0.8416757741347906,0.23421052631578942,0.11238455477437918,31.559626977187264,5.875,True,173.84,geometric_median,4.099999932805076e-05,5,,0.5324400564174893,0.29353799077285414,1
206.16000000000003,22.8,39.0,114.0,34.0,0.7160330578512397,0.343859649122807,0.22467097362397995,24.397912703229718,7.8,True,206.16000000000003,min_sum,0.007349799998337403,1495,,0.8173483779971792,0.0,1
114.8,26.0,34.0,130.0,29.0,0.8548305513404147,0.193846153846154,0.11625611322685798,26.86927434239506,6.8,True,114.8,min_max,0.007469300002412638,1495,,0.011988716502115524,0.10129397826881273,1
114.8,26.0,34.0,130.0,29.0,0.8548305513404147,0.193846153846154,0.11625611322685798,26.86927434239506,6.8,True,114.8,min_range,0.007129699999495642,1495,,0.011988716502115524,0.10129397826881273,1
113.44000000000001,26.4,37.0,132.0,30.0,0.8600197433366239,0.21212121212121215,0.1011521858323031,27.274677340219025,5.285714285714286,True,113.44000000000001,random,0.003993300000729505,500,,0.0,0.11791027666922058,1
113.44000000000001,26.4,37.0,132.0,30.0,0.8600197433366239,0.21212121212121215,0.1011521858323031,27.274677340219025,5.285714285714286,True,113.44000000000001,exhaustive,0.008489199997711694,1495,,0.0,0.11791027666922058,1
